,school,major,example_school,data_school,example_major,data_major
0,vien dai hoc mo ha noi,khoa công nghệ thông tin,dai hoc monash,dai hoc mo ha noi,cong nghe thong tin,cong nghe thong tin
1,Viện đại học Mở Hà Nội,Khoa công nghệ thông tin,vien dai hoc mo ha noi,dai hoc mo ha noi,cong nghe thong tin,cong nghe thong tin
2,Fpt,Android,dai hoc fpt,dai hoc fpt,thuy van hoc,android
3,back khoa aptech,cntt,dai hoc bach khoa hcm,CannotFound,cong nghe thong tin,cong nghe thong tin
4,quản trị doanh nghiệp,Đại học Kinh doanh và công nghệ Hà nội,cao dang ban cong cong nghe quan tri doanh nghiep,cao dang ban cong cong nghe quan tri doanh nghiep,cong nghe kinh doanh thuc pham,dai hoc kinh doanh cong nghe ha noi
5,đại học y dược Cần Thơ,Y đa khoa,dai hoc y duoc can tho,dai hoc y duoc can tho,y da khoa,y khoa
6,khoa học quân sự,tiếng trung,hoc vien khoa hoc quan su,hoc vien khoa hoc quan su,trung tam,su pham tieng trung quoc
7,đại học văn lang,quan hệ công chúng và truyền thông,dai hoc van lang,dai hoc van lang,quan he cong chung,quan he cong chung truyen thong
8,Đại học Ngoại Ngữ ĐHQG HN,Tiếng Pháp,dai hoc an giang dai hoc quoc gia hcm,dai hoc ngoai ngu dai hoc quoc gia ha noi,su pham tieng phap,su pham tieng phap
9,Đại học Ngoại Ngữ ĐHQG HN,Tiếng Pháp,dai hoc an giang dai hoc quoc gia hcm,dai hoc ngoai ngu dai hoc quoc gia ha noi,su pham tieng phap,su pham tieng phap
10,Đại học Cửu Long,Chuyên ngành kế toán,dai hoc cuu long,dai hoc cuu long,ke toan,chuyen nganh
11,Trung tâm giáo dục thường xuyên đình xuyên,văn hóa và Công nghệ thông tin,trung tam,CannotFound,cong nghe thong tin,cong nghe thong tin
12,trung cấp y dược mêkong,y sĩ đa khoa,trung cap,CannotFound,y da khoa,y khoa
13,cd kt-kt,kế toán,dai hoc duy tan,cao dang kt kt,ke toan,ke toan
14,hdhdj,bdhdb,dai hoc binh duong,h dai hoc dj,dinh duong,b dai hoc db
15,THPT Thanh Đa,Không,trung hoc pho thong,trung hoc pho thong thanh da,pho thong,khong
16,Đại học Tài chính - Marketing,Tài chính Bảo hiểm và đầu tư,dai hoc tai chinh marketing,dai hoc tai chinh marketing,bao hiem tai chinh,tai chinh bao hiem dau tu
17,Đại học Tài chính Marketing,Quản trị du lịch,dai hoc tai chinh marketing,dai hoc tai chinh marketing,quan tri dich vu du lich lu hanh,quan tri du lich khach san
18,tc sp mẫu giáo nhà trẻ hn,giáo viên mầm non,dai hoc giao duc ha noi,CannotFound,giao duc mam non,giao vien mam non
19,Đại học Thủ Đô,Tiếng Trung Quốc,dai hoc thu do ha noi,dai hoc thu do,su pham tieng trung quoc,su pham tieng trung quoc
20,điện xi nghiệp,điện,cao dang nghe dien bien,CannotFound,dieu khac,ky thuat dien
21,thpt Lê thị riêng,học sinh,trung hoc pho thong,trung hoc pho thong le thi rieng,hoc sinh,sinh hoc
22,Cao đẳng y tế Thanh Hóa,Dươc học,cao dang y te thanh hoa,cao dang y te thanh hoa,bao chi,duoc hoc
23,THPT Tây Sơn,THPT,trung hoc pho thong,trung hoc pho thong tay son,pho thong,trung hoc pho thong
24,THPT Tây Sơn,THPT,trung hoc pho thong,trung hoc pho thong tay son,pho thong,trung hoc pho thong
25,Đại Học Xây Dựng Miền Tây,Xây Dựng Dân Dụng,dai hoc xay dung mien tay,dai hoc xay dung mien tay,xay dung dan dung cong nghiep,xay dung dan dung
26,Trường THPT PHAN CHU TRINH,Học sinh,trung hoc pho thong,trung hoc pho thong phan chu trinh,hoc sinh,sinh hoc
27,học viện nông nghiệp Việt Nam,Sản xuất và quản lý sản xuất rau hoa quả trong nhà có mái cho,hoc vien nong nghiep viet nam,hoc vien nong nghiep viet nam,quan ly san xuat,san xuat quan ly san xuat rau hoa qua trong nha co mai cho
28,dh nông lâm tp hồ chí minh,công nghệ hóa học,dai hoc nong lam hcm,dai hoc nong lam hcm,cong nghe ky thuat hoa hoc,cong nghe hoa hoc
29,Cao Đẳng VHNT & DL Nha trang,Thanh Nhạc,cao dang du lich nha trang,cao dang vhnt dl nha trang,thanh nhac,thanh nhac
30,Đại học An Giang,Công nghệ - kỹ thuật - môi trường,dai hoc an giang dai hoc quoc gia hcm,dai hoc an giang,cong nghe ky thuat moi truong,cong nghe ky thuat moi truong
31,cao đẳng cộng đồng,kế toán,cao dang cong dong ca mau,cao dang cong dong ha tay,ke toan,ke toan
32,cao đẳng cộng đồng,kế toán,cao dang cong dong ca mau,cao dang cong dong ha tay,ke toan,ke toan
33,cao đẳng cộng đồng,kế toán,cao dang cong dong ca mau,cao dang cong dong ha tay,ke toan,ke toan
34,cao đẳng cộng đồng,kế toán,cao dang cong dong ca mau,cao dang cong dong ha tay,ke toan,ke toan
35,cao đẳng cộng đồng,kế toán,cao dang cong dong ca mau,cao dang cong dong ha tay,ke toan,ke toan
36,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
37,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
38,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
39,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
40,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
41,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
42,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
43,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
44,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
45,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
46,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
47,cao đẳng sư phạm huế,tin học ngoại ngữ,cao dang su pham hue,cao dang su pham hue,dia tin hoc,tin hoc ngoai ngu
48,Đại học CN thành phố HCM,Hóa phân tích,dai hoc mo hcm,dai hoc cong nghe hcm,phan tich du lieu kinh doanh,hoa phan tich
49,ĐẠI HỌC CÔNG NGHỆ SÀI GÒN STU,điện-điện tử,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,cong nghe ky thuat dien dien tu,dien dien tu
50,ĐH Ngoại Thương,Kinh tế Đối ngoại,dai hoc ngoai thuong,dai hoc ngoai thuong,kinh te doi ngoai,kinh te
51,Trường THPT Nguyễn Huệ,Văn - Anh,trung hoc pho thong,trung hoc pho thong nguyen hue,van hoc,van anh
52,đại học thăng long,tài chính,dai hoc thang long,dai hoc thang long,tai chinh luong,cong nghe tai chinh
53,đại học Ngân Hàng TPHCM,Tài chính,dai hoc ngan hang hcm,dai hoc ngan hang hcm,tai chinh luong,cong nghe tai chinh
54,Đại học nông lâm thái nguyên,Khoa học môi trường,dai hoc nong lam dai hoc thai nguyen,dai hoc nong lam thai nguyen,khoa hoc moi truong,khoa hoc moi truong
55,Viện Đại Học Mở Hà Nội,Ngôn ngữ Anh,dai hoc kien giang,dai hoc mo ha noi,ngon ngu anh,ngon ngu anh
56,Viện Đại Học Mở  Hà Nội,Kinh Tế (Kế Toán),dai hoc kien giang,dai hoc mo ha noi,thong ke kinh te,kinh te
57,The University of Greenwich,Computer Sceince,dai hoc greenwich,the university of greenwich,khoa hoc may tinh,khoa hoc may tinh
58,Học viện Báo chí và Tuyên truyền,Quảng cáo,hoc vien bao chi tuyen truyen,hoc vien bao chi tuyen truyen,quan he lao dong,quang cao
59,Vietnam National University,English Translation and Interpretation,dai hoc quoc gia ha noi,dai hoc quoc gia hcm,phien dich tieng anh,english translation and interpretation
