,school_name,specialization,normalized_school,predicted_school,normalized_major,predicted_major
0,DHBKHN,CNTT,đại học bách khoa hn,"(0.7368421052631579, 'đại học bách khoa hà nội')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
1,vien dai hoc mo ha noi,khoa công nghệ thông tin,vien đại học mo ha noi,"(0.35, 'đại học monash')",khoa công nghệ thông tin,"(0.75, 'công nghệ thông tin')"
2,Viện đại học Mở Hà Nội,Khoa công nghệ thông tin,viện đại học mở hà nội,"(1.0, 'viện đại học mở hà nội')",khoa công nghệ thông tin,"(0.75, 'công nghệ thông tin')"
3,Fpt,Android,fpt,"(1.0, 'đại học fpt')",android,"(0.16666666666666666, 'thủy văn học')"
4,Dh công nghiệp hà nội,công nghệ thông tin,đại học công nghiệp hà nội,"(1.0, 'đại học công nghiệp hà nội')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
5,Dh công nghiệp hà nội,công nghệ thông tin,đại học công nghiệp hà nội,"(1.0, 'đại học công nghiệp hà nội')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
6,FPT university,marketing,fpt university,"(1.0, 'đại học fpt')",marketing,"(1.0, 'marketing')"
7,back khoa aptech,cntt,back khoa aptech,"(0.25, 'đại học bách khoa tp hcm')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
8,quản trị doanh nghiệp,Đại học Kinh doanh và công nghệ Hà nội,quản trị doanh nghiệp,"(0.5, 'cao đẳng bán công công nghệ và quản trị doanh nghiệp')",đại học kinh doanh và công nghệ hà nội,"(0.3783783783783784, 'công nghệ và kinh doanh thực phẩm')"
9,ĐH Công nghiệp Hà Nội,Kế toán kiểm toán,đại học công nghiệp hà nội,"(1.0, 'đại học công nghiệp hà nội')",kế toán kiểm toán,"(0.7, 'kiểm toán')"
10,đại học y dược Cần Thơ,Y đa khoa,đại học y dược cần thơ,"(1.0, 'đại học y dược cần thơ')",y đa khoa,"(1.0, 'y đa khoa')"
11,khoa học quân sự,tiếng trung,khoa học quân sự,"(0.7058823529411765, 'học viện khoa học quân sự')",tiếng trung,"(0.5, 'trung tâm')"
12,Đại Học Thương Mại,Marketing,đại học thương mại,"(1.0, 'đại học thương mại')",marketing,"(1.0, 'marketing')"
13,đại học văn lang,quan hệ công chúng và truyền thông,đại học văn lang,"(1.0, 'đại học văn lang')",quan hệ công chúng và truyền thông,"(0.5416666666666666, 'quan hệ công chúng')"
14,Đại học Ngoại Ngữ ĐHQG HN,Tiếng Pháp,đại học ngoại ngữ đại học quốc giahn,"(0.5384615384615384, 'đại học an giang đại học quốc gia hcm')",tiếng pháp,"(0.6153846153846154, 'sư phạm tiếng pháp')"
15,Đại học Ngoại Ngữ ĐHQG HN,Tiếng Pháp,đại học ngoại ngữ đại học quốc giahn,"(0.5384615384615384, 'đại học an giang đại học quốc gia hcm')",tiếng pháp,"(0.6153846153846154, 'sư phạm tiếng pháp')"
16,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,Quản trị kinh doanh,đại học kinh tế kỹ thuật công nghiệp,"(1.0, 'đại học kinh tế kỹ thuật công nghiệp')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
17,Đại học Cửu Long,Chuyên ngành kế toán,đại học cửu long,"(1.0, 'đại học cửu long')",kế toán,"(1.0, 'kế toán')"
18,Trung tâm giáo dục thường xuyên đình xuyên,văn hóa và Công nghệ thông tin,trung tâm giáo dục thường xuyên đình xuyên,"(0.2413793103448276, 'trung tâm')",văn hóa và công nghệ thông tin,"(0.6, 'công nghệ thông tin')"
19,trung cấp y dược mêkong,y sĩ đa khoa,trung cấp y dược mêkong,"(0.4117647058823529, 'trung cấp')",y sĩ đa khoa,"(0.5555555555555556, 'y đa khoa')"
20,Cao Đẳng Kinh Tế-Công Nghệ TPHCM,Quản trị nhà hàng và dịch vụ ăn uống,cao đẳng kinh tế-công nghệ tphcm,"(1.0, 'cao đẳng kinh tế công nghệ tphcm')",quản trị nhà hàng và dịch vụ ăn uống,"(1.0, 'quản trị nhà hàng và dịch vụ ăn uống')"
21,Trường Cao Đẳng Kinh Tế TPHCM,Kế toán,cao đẳng kinh tế tphcm,"(1.0, 'cao đẳng kinh tế tphcm')",kế toán,"(1.0, 'kế toán')"
22,cd kt-kt,kế toán,cd kt-kt,"(0.07142857142857142, 'đại học duy tân')",kế toán,"(1.0, 'kế toán')"
23,Đai học kinh tế kỹ thuật Bình Dương,Dược sĩ Trung học,đai học kinh tế kỹ thuật bình dương,"(0.8571428571428571, 'đại học kinh tế kỹ thuật bình dương')",dược sĩ trung học,"(0.35714285714285715, 'dược học')"
24,Đai học kinh tế kỹ thuật Bình Dương,Dược sĩ Trung học,đai học kinh tế kỹ thuật bình dương,"(0.8571428571428571, 'đại học kinh tế kỹ thuật bình dương')",dược sĩ trung học,"(0.35714285714285715, 'dược học')"
25,Đai học kinh tế kỹ thuật Bình Dương,Dược sĩ Trung học,đai học kinh tế kỹ thuật bình dương,"(0.8571428571428571, 'đại học kinh tế kỹ thuật bình dương')",dược sĩ trung học,"(0.35714285714285715, 'dược học')"
26,Đai học kinh tế kỹ thuật Bình Dương,Dược sĩ Trung học,đai học kinh tế kỹ thuật bình dương,"(0.8571428571428571, 'đại học kinh tế kỹ thuật bình dương')",dược sĩ trung học,"(0.35714285714285715, 'dược học')"
27,hdhdj,bdhdb,hdhdj,"(0.0625, 'đại học bình dương')",bdhdb,"(0.09090909090909091, 'dinh dưỡng')"
28,THPT Thanh Đa,Không,thpt thanh đa,"(1.0, 'trung học phổ thông')",không,"(0.375, 'phổ thông')"
29,Nguyễn Tất Thành,quản trị kinh doanh,nguyễn tất thành,"(0.6842105263157895, 'đại học nguyễn tất thành')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
30,Đại học Tài chính - Marketing,Tài chính Bảo hiểm và đầu tư,đại học tài chính - marketing,"(1.0, 'đại học tài chính marketing')",tài chính bảo hiểm và đầu tư,"(0.5909090909090909, 'bảo hiểm tài chính')"
31,cao dang tai chinh hai quan,kinh doanh quoc te,cao dang tai chinh hai quan,"(0.42857142857142855, 'cao đẳng tài chính hải quan')",kinh doanh quoc te,"(0.625, 'kinh doanh quốc tế')"
32,Đại học tài chính quản trị kinh doanh,kế toán,đại học tài chính quản trị kinh doanh,"(1.0, 'đại học tài chính quản trị kinh doanh')",kế toán,"(1.0, 'kế toán')"
