school,specialization
dai hoc quoc gia ha noi,"['quan tri kinh doanh', 'moi truong', 'khoa hoc chinh tri', 'su pham', 'cong nghe thong tin', 'luat', 'y duoc', 'dien tu vien thong', 'ke toan', 'quan tri kinh doanh- marketing', 'su pham lich su', 'su pham ngoai ngu', 'su pham vat li', 'kinh doanh quoc te', 'cong nghe thong tin', 'cntt', 'chuyen nganh', 'kinh doanh nghiep', 'chuyen nganh', 'cong nghe thong tin']"
dai hoc cong nghe dai hoc quoc gia ha noi,"['cong nghe thong tin', 'cong nghe thong tin', 'cong nghe thong tin', 'quan tri mang', 'quan tri mang', 'quan tri mang', 'cong nghe thong tin', 'co dien tu', 'vat ly ki thuat', 'vat lieu va linh kien nano', 'information of technology (it)', 'chuyen nganh', 'vat lieu ban dan va linh kien']"
dai hoc giao duc dai hoc quoc gia ha noi,['su pham lich su']
dai hoc kinh te dai hoc quoc gia ha noi,"['quan tri kinh doanh', 'kinh te phat trien', 'chuyen nganh', 'chuyen nganh', 'tai chinh ngan hanh', 'marketing']"
dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi,"['kinh te sinh thai', 'ky thuat dia chat', 'toan hoc', 'dia chat moi truong', 'cong nghe hoa hoc', 'quan ly tai nguyen va moi truong', 'hoa hoc', 'cong nghe hoa hoc', 'su pham toan', 'khoa hoc moi truong', 'hoa duoc', 'hoa duoc', 'khoa hoc moi truong', 'quan ly tai nguyen va moi truong']"
dai hoc khoa hoc xa hoi nhan van dai hoc quoc gia ha noi,"['quan he cong chung', 'cong tac xa hoi', 'quan tri dich vu du lich va lu hanh', 'quan ly nhan luc', 'khoa hoc quan ly (quan ly nguon nhan luc)', 'khoa van hoc', 'quan tri kinh doanh', 'van hoc', 'han nom', 'cong tac xa hoi', 'nhat ban hoc', 'bao chi & truyen thong', 'dong phuong hoc', 'khoa quan he quoc te', 'thong tin hoc', 'thong tin hoc', 'ngu van duc', 'nhat ban hoc', 'van hoa hoc', 'an do hoc', 'van chuong anh', 'van hoc- han nom', 'tam ly hoc', 'ngu van anh', 'khoa dong phuong hoc', 'nhan hoc', 'xa hoi hoc', 'van hoa hoc', 'viet nam hoc', 'khoa hoc quan my', 'bao chi va truyen thong', 'dong phuong-trung quoc hoc', 'ngu van anh', 'thoing tin hoc', 'bien kich dien anh va truyen hinh', 'song ngu nga - anh', 'dong phuong hoc', 'chung chi nghiep vu su pham', 'quan he quoc te', 'nghiep vu su pham', 'han quoc hoc', 'triet hoc', 'ngon ngu anh', 'nhat ban hoc', 'ngon ngu anh', 'xa hoi hoc', 'ngon ngu anh', 'dong phuong hoc', 'van hoa hoc', 'ngon ngu trung quoc', 'quoc te hoc', 'xa hoi hoc', 'ngon ngu anh', 'du lich hoc', 'quan he cong chung', 'tieng anh', 'quan he quoc te', 'quan ly hanh chinh cong', 'chinh tri hoc', 'quan tri su kien', 'van hoc', 'xa hoi hoc', 'tam ly hoc', 'chuyen nganh', 'chuyen nganh', 'van hoc', 'chuyen nganh', 'khoa : quan tri dich vu du lich va lu hanh', 'thong tin thu vien', 'khoa hoc quan ly', 'quan ly xa hoi', 'quan ly xa hoi', 'ngu van trung quoc', 'tam ly giao duc', 'triet hoc', 'ngu van anh', 'ngu van anh', 'bao chi truyen thong', 'thong tin hoc', 'chuyen nganh', 'cong tac xa hoi', 'bao chi', 'xa hoi hoc', 'bao chi', 'dong phuong hoc', 'linguistics', 'van hoc va ngon ngu', 'tieng anh va tieng nga', 'lich su the gioi', 'quan tri du lich', 'khoa dong phuong, nganh nhat ban hoc', 'van hoc va ngon ngu', 'quan he quoc te', 'xa hoi hoc', 'quan ly giao duc', 'xa hoi hoc', 'ngu van trung quoc', 'triet hoc', 'ngu van anh', 'thong tin hoc', 'chuyen nganh ngon ngu anh', 'do thi hoc', 'bao chi truyen thong', 'he thong thong tin quan ly, khoa hoc thu vien, khoa hoc thong tin', 'chuyen nganh', 'chuyen nganh', 'thu vien- thong tin hoc', 'chuyen nganh', 'ngu van', 'ngon ngu anh', 'dong phuong hoc', 'triet hoc', 'tam ly hoc', 'dong phuong hoc', 'triet hoc', 'ngu van anh', 'trung quoc hoc', 'quan ly giao duc', 'ngu van anh']"
dai hoc ngoai ngu dai hoc quoc gia ha noi,"['tieng phap', 'tieng phap', 'ngon ngu nga', 'english methodolody', 'su pham tieng anh', 'ngon ngu phap - du lich khach san', 'bien dich tieng anh', 'su pham tieng anh', 'tieng anh', 'ngon ngu va van hoa phap', 'tieng anh phien dich', 'ngon ngu anh', 'tieng nga phien dich', 'interpreter/translator', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'ngon ngu nhat ban', 'su pham tieng anh', 'deutsch', 'chuyen nganh']"
dai hoc y duoc dai hoc quoc gia ha noi,[]
dai hoc viet nhat dai hoc quoc gia ha noi,[]
dai hoc luat dai hoc quoc gia ha noi,"['luat hoc', 'luat', 'luat kinh doanh', 'luat hoc']"
