school,specialization
ha noi national university,"['quan tri kinh doanh', 'tesol']"
university technology vietnam national university hanoi,[]
hanoi national university higher education,"['chuyen nganh', 'chuyen nganh tam ly va quan ly giao duc', 'k64 khoa cong tac xa hoi']"
university economics hanoi national university,[]
hanoi university natural sciences vietnam national university,[]
university social sciences and humanities vietnam national university hanoi,"['chuyen nganh', 'khoa hoc thu vien', 'english linguistics and literature', 'philosophy', 'faculty of english linguistics and literature']"
university foreign languages vietnam national university hanoi,[]
university medicine and pharmacy hanoi national university,[]
vietnam japan university vietnam national university hanoi,[]
hanoi national university law university,[]
school management and business hanoi national university,['marketing']
hanoi national university international school,[]
school interdisciplinary sciences and arts hanoi national university,[]
hcm national university,"['global sport management', 'chuyen nganh', 'chuyen nganh', 'information technology', 'english translation and interpretation', 'chuyen nganh', 'chuyen nganh', 'rural development']"
an giang university,"['research', 'chuyen nganh', 'chuyen nganh']"
hcm national university technology,[]
university information technology hcm national university,[]
university natural sciences hcm national university,[]
university economics and law hcm national university,"['law on finance - banking - securities', 'economics', 'business administration', 'business administration', 'management infomation system', 'chuyen nganh']"
hcm national university international university,['biochemical system']
thai nguyen university,[]
thai nguyen university information and communications technology,[]
thai nguyen university sciences,[]
thai nguyen university economics and business administration,"['chuyen nganh', 'chuyen nganh']"
thai nguyen university industrial technology,[]
thai nguyen university agriculture and forestry,[]
thai nguyen university education,[]
thai nguyen university medicine and pharmacy,[]
thai nguyen foreign language school,[]
thai nguyen college economics and technology,[]
hue university,"['international studying', 'quan ly khach san', 'quan tri nha hang - khach san', 'english for forein trade', 'finance banking', 'xay dung']"
hue science university,[]
hue economical university,[]
hue university law,[]
hue university arts,[]
hue university foreign languages,['international studies']
hue university agriculture and forestry,[]
hue university education,[]
hue university medicine and pharmacy,[]
hue tourism school,[]
da nang university,"['business administration', 'accounting']"
da nang polytechnic university,[]
danang university economics,['marketing']
da nang university education,[]
da nang university foreign languages,[]
da nang university technical education,[]
vietnam korea university information and communications technology,[]
hanoi polytechnic university,[]
hcm university economics,"['finance - banking', 'llm', 'thuong mai', 'financial and banking', 'tai chinh', 'economics', 'luat phap', 'corporate finance', 'business administration', 'foreign trade', 'international business', 'chuyen nganh']"
education management academy,[]
hanoi university,"['it', 'accounting - english', 'clinical pharmacy', 'chemical technology and engineering', 'faculty of mathematics mechanics informatics', 'bachelor of commerce']"
university transport,"['bridge and tunnel engineering', 'van tai da phuong thuc k55', 'road and bridge']"
national economics university,"['bachelor of business administration', 'investment economics', 'coporate finance', 'faculty of business english', 'accounting', 'marketng', 'marketng', 'accounting & auditing', 'chuyen nganh', 'business administration']"
mine geological college,[]
hanoi open university,"['cong nghe dien tu thong tin', 'kien truc', 'hospitality management', 'information technology', 'accounting', 'business management']"
university industrial fine arts,[]
foreign trade university,"['banking and international finance', 'external economics', 'kinh te doi ngoai', 'kinh te doi ngoai', 'kinh te doi ngoai', 'economics', 'foreign economic', 'international business economics', 'international trade law', 'international business', 'external economy', 'international business', 'business administration', 'chuyen nganh', 'chuyen nganh', 'international business', 'chuyen nganh', 'international finance', 'finance and banking', 'finance and business management']"
hanoi university education,[]
hanoi university education 2,[]
central university art education,[]
hanoi university physical education and sports,[]
university commerce,"['economic management', 'e-commerce', 'chuyen nganh']"
hanoi university construction,[]
hcm university law,"['international commercial law', 'luat quoc te']"
hcm open university,"['chuyen nganh', 'hoc tieng anh thuong mai', 'business administration', 'finance - banking', 'he thong thong tin quan ly', 'luat hoc, luat kinh te, luat hinh su', 'english language', 'ba', 'finance/banking', 'manager']"
hcm university agriculture and forestry,[]
hcm university technical education,['chuyen nganh']
hcm university education,[]
hcm university physical education and sports,[]
vinh university,"['chuyen nganh', '53b1 du lich', 'chuyen nganh']"
can tho university,"['finance', 'b.a of english', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'ngon ngu han kinh te']"
dalat university,['chuyen nganh']
dong thap university,[]
kien giang university,[]
nha trang university,['quan tri kinh doanh']
quy nhon university,[]
hung yen university technical education,[]
northwestern university,[]
tay nguyen university,"['cu nhan van', 'chuyen nganh']"
vietnamese german university,['finance-accounting']
hanoi medical university,[]
hanoi pharmaceutical university,[]
university public health,[]
vietnam academy traditional medicine and pharmacy,[]
hcm university medicine and pharmacy,['chuyen nganh']
hai phong university medicine and pharmacy,[]
thai binh university medicine and pharmacy,[]
can tho university medicine and pharmacy,['pharmacy']
nam dinh university nursing,[]
hai duong university medical technology,[]
da nang university medical technology and pharmacy,[]
vietnam national academy music,[]
vietnam dance academy,[]
