school,specialization
nan,['.']
12/12,['ngoai ngu']
12/12 truong trung tam dien chau nghe an,['van hoa']
2 g viet nam,"['toeic 520 diem', 'toeic 895']"
2 g vietnam,['toeic 720 diem']
a au vocational school,['bar management']
academy of finance,"['ke toan doanh nghiep', 'corporate finance']"
academy of journalism and communication,"['international relations', 'ly luan chinh tri', 'ly luan chinh tri', 'bao mang k31 :d', 'chuyen nganh', 'television']"
acca,"['kiem toan', 'ke toan - kiem toan - tai chinh - thue']"
ait o uc,['web developer']
aiwa foreign language,['tieng nhat']
american polytechnic college,"['business administration (marketing)', 'business administration (marketing)']"
amity international school,['toan']
an giang university,"['research', 'chuyen nganh', 'chuyen nganh']"
an hang o khong an xong roi bao,['chuyen nganh']
an phu donh,['ko co']
an thanh,['khong co']
an thuong,['thcs']
anh ngu boston,['tieng anh giao tiep']
anh van hoi viet my,['tieng anh']
aprotrain aptech,"['lap trinh vien quoc te', 'lap trinh vien', 'cntt']"
aptech,"['cong nghe thong tin', 'lap trinh vien', 'lap trinh']"
aptech aprotrain,['cong nghe thong tin']
aptech computer education,['cong nghe thong tin']
aptech fpt,['pham mem']
arena,['thiet ke do hoa']
arena multimedia,"['thiet ke do hoa', 'graphic design', 'thiet ke 2d va 3d', 'thiet ke su dung tot photoshop va lightroom', 'thiet ke', 'thiet ke do hoa', 'thiet ke do hoa', 'chuyen nganh']"
arena multimedia college,['advanced diploma in multimedia']
arena mutimedia,['thiet ke do hoa']
arenamultimedia,['my thuat da phuong tien']
asia e university,['cong nghe thong tin']
asia university of art design,['fashion design']
au a,['bep']
au viet,['duoc si']
ba dinh,['.']
bac ha international university,['ke toan']
bac lieu university,['i.t - cong nghe thong tin - ky thuat phan mem & phan cung may tinh.']
bach khoa aptech,"['thiet ke website', 'quan tri mang']"
bach khoa hcm,"['he thong dien', 'ky thuat he thong cong nghiep', 'cang cong trinh bien']"
bach khoa university,"['cong trinh thuy', 'geological engineering', 'chemical engineering', 'chemical engineering']"
bach viet college,"['english business', 'cntt']"
bachkhoa aptech,"['chuyen nganh', 'lap trinh huong doi tuong', 'chuyen nganh']"
back khoa aptech,['cntt']
back khoa university,['industrial systems engineering']
bahhsh,['hsghshs']
ban cong cong nghe qtdn,['tin hoc']
ban cong tan bien,['trung hoc pho thong']
bang c oto,['oto6']
banking academy,['financial and banking']
banking uni,['ke toan']
banking university,['banking and finance']
banking university hcm,"['business administration', 'banking and finance']"
banking university of hcm,['marketing']
bannari amman institute of technology sathyamangalam,['chuyen nganh']
bao binh,['trung hoc']
ben thanh,['pharmacist']
binh duong university,['tai chinh - ngan hang']
bmg international education,['quan ly su kien']
bmt,['chuyen nganh']
bo tuc hong ha,['y te']
bogor agricultural university,['structure and environmental engineering']
boi duong nghiep vu ca hcm,['nghiep vu canh sat']
bolton university,['business administration']
brn,['hehe']
bui thi xuan,['chua hoc het lop 7']
buon ban,['chuyen nganh']
bv thong nhat,['x quang']
c 500l,['lai xe']
ca mau service of education training,['level b in microsoft access']
cai dang bac nam hai phong,['che bien']
cai dang nghe brvt,['dien ki thuat']
cambodia blog social cbs,"['tourism,']"
can tho university,"['finance', 'b.a of english', 'chuyen nganh']"
can tho university of medicine and pharmacy,['pharmacy']
cao dabg kinh te ky thuat mien nam,['duoc']
cao dag nghe so 8,['cong nghe thong tin']
cao dang an ninh nhan dan 2,['quan ly trat tu']
cao dang bach nghe,['dien tu cong nghiep']
cao dang bach nghe tay ha,['tai chinh ngan hang']
cao dang canh sat nhan dan 2,['tai xe hang c']
