school,specialization
,['.']
12/12,['ngoai ngu']
12/12 truong trung tam dien chau nghe an,['van hoa']
2 g viet nam,"['toeic 520 diem', 'toeic 895']"
2 g vietnam,['toeic 720 diem']
a au vocational school,['bar management']
academy of finance,"['ke toan doanh nghiep', 'corporate finance']"
academy of journalism and communication,"['international relations', 'ly luan chinh tri', 'ly luan chinh tri', 'bao mang k31 :d', 'chuyen nganh', 'television']"
acca,"['kiem toan', 'ke toan - kiem toan - tai chinh - thue']"
ait o uc,['web developer']
aiwa foreign language,['tieng nhat']
american polytechnic college,"['business administration (marketing)', 'business administration (marketing)']"
amity international school,['toan']
an,['lai xe']
an giang university,"['research', 'chuyen nganh', 'chuyen nganh']"
an hang o khong an xong roi bao,['chuyen nganh']
an phu donh,['ko co']
an thanh,['khong co']
an thuong,['thcs']
anh ngu boston,['tieng anh giao tiep']
anh van hoi viet my,['tieng anh']
aprotrain aptech,"['lap trinh vien quoc te', 'lap trinh vien', 'cntt']"
aptech,"['cong nghe thong tin', 'lap trinh vien', 'lap trinh']"
aptech aprotrain,['cong nghe thong tin']
aptech computer education,['cong nghe thong tin']
aptech fpt,['pham mem']
arena,['thiet ke do hoa']
arena multimedia,"['thiet ke do hoa', 'graphic design', 'thiet ke 2d va 3d', 'thiet ke su dung tot photoshop va lightroom', 'thiet ke', 'thiet ke do hoa', 'thiet ke do hoa', 'chuyen nganh']"
arena multimedia college,['advanced diploma in multimedia']
arena mutimedia,['thiet ke do hoa']
arenamultimedia,['my thuat da phuong tien']
asia e university,['cong nghe thong tin']
asia university of art design,['fashion design']
au a,['bep']
au lac,['lai xe fc']
au viet,['duoc si']
ba dinh,['.']
bac ha international university,['ke toan']
bac lieu university,['i.t - cong nghe thong tin - ky thuat phan mem & phan cung may tinh.']
bach khoa,"['cntt', 'cccc']"
bach khoa aptech,"['thiet ke website', 'quan tri mang']"
bach khoa da nang,"['kinh te xay dung', 'ky su cau duong', 'chuyen nganh']"
bach khoa ha noi,"['cntt', 'quan ly moi truong']"
bach khoa hcm,"['he thong dien', 'ky thuat he thong cong nghiep', 'cang cong trinh bien']"
