school_name,specialization
DHBKHN,CNTT
"vien dai hoc mo ha noi","khoa công nghệ thông tin"
"Viện đại học Mở Hà Nội","Khoa công nghệ thông tin"
Fpt,Android
"Dh công nghiệp hà nội","công nghệ thông tin"
"Dh công nghiệp hà nội","công nghệ thông tin"
"FPT university",marketing
"back khoa aptech",cntt
"quản trị doanh nghiệp","Đại học Kinh doanh và công nghệ Hà nội"
"ĐH Công nghiệp Hà Nội","Kế toán kiểm toán"
"đại học y dược Cần Thơ","Y đa khoa"
"khoa học quân sự","tiếng trung"
"Đại Học Thương Mại",Marketing
"đại học văn lang","quan hệ công chúng và truyền thông"
"Đại học Ngoại Ngữ ĐHQG HN","Tiếng Pháp"
"Đại học Ngoại Ngữ ĐHQG HN","Tiếng Pháp"
"Đại Học Kinh Tế Kỹ Thuật Công Nghiệp","Quản trị kinh doanh"
"Đại học Cửu Long","Chuyên ngành kế toán"
"Trung tâm giáo dục thường xuyên đình xuyên","văn hóa và Công nghệ thông tin"
"trung cấp y dược mêkong","y sĩ đa khoa"
"Cao Đẳng Kinh Tế-Công Nghệ TPHCM","Quản trị nhà hàng và dịch vụ ăn uống"
"Trường Cao Đẳng Kinh Tế TPHCM","Kế toán"
"cd kt-kt","kế toán"
"Đai học kinh tế kỹ thuật Bình Dương","Dược sĩ Trung học"
"Đai học kinh tế kỹ thuật Bình Dương","Dược sĩ Trung học"
"Đai học kinh tế kỹ thuật Bình Dương","Dược sĩ Trung học"
"Đai học kinh tế kỹ thuật Bình Dương","Dược sĩ Trung học"
hdhdj,bdhdb
"THPT Thanh Đa",Không
"Nguyễn Tất Thành","quản trị kinh doanh"
"Đại học Tài chính - Marketing","Tài chính Bảo hiểm và đầu tư"
"cao dang tai chinh hai quan","kinh doanh quoc te"
"Đại học tài chính quản trị kinh doanh","kế toán"
"Đại học Tài chính Marketing","Quản trị du lịch"
"tc sp mẫu giáo nhà trẻ hn","giáo viên mầm non"
"Đại học Thủ Đô","Tiếng Trung Quốc"
"điện xi nghiệp",điện
"thpt Lê thị riêng","học sinh"
"Cao đẳng y tế Thanh Hóa","Dươc học"
"THPT Tây Sơn",THPT
"THPT Tây Sơn",THPT
"Đại Học Xây Dựng Miền Tây","Xây Dựng Dân Dụng"
"Trường THPT PHAN CHU TRINH","Học sinh"
"cao đẳng kỹ thuật nghiệp vụ thủ đũc",CNTT
"học viện nông nghiệp việt nam","nông học"
"học viện nông nghiệp Việt Nam","Sản xuất và quản lý sản xuất rau hoa quả trong nhà có mái cho"
"dh nông lâm tp hồ chí minh","công nghệ hóa học"
"đại học sư phạm tphcm","Tiếng Anh"
"Đại học công đoàn","xã hội học"
"Cao Đẳng VHNT & DL Nha trang","Thanh Nhạc"
"cao đẳng kỹ thuật cao thắng","kế toán"
"Đại học An Giang","Công nghệ - kỹ thuật - môi trường"
"cao đẳng cộng đồng","kế toán"
"cao đẳng cộng đồng","kế toán"
"cao đẳng cộng đồng","kế toán"
"cao đẳng cộng đồng","kế toán"
"cao đẳng cộng đồng","kế toán"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"cao đẳng sư phạm huế","tin học ngoại ngữ"
"Đại học Mở TP.HCM","Kế toán - Kiểm toán"
"Đại học Mở TP.HCM","Kế toán - Kiểm toán"
"Đại học Mở TP.HCM","Kế toán - Kiểm toán"
"Đại học Mở TP.HCM","Kế toán - Kiểm toán"
"Đại học Hà Nội","Tài chính Ngân hàng"
"đại học Kinh Tế Quốc Dân","tiếng anh thương mại"
"Đại học Kinh Tế TP.HCM","Tài chính Ngân hàng"
"Trường Đại Học Cần Thơ","CNTT cơ bản"
"Cao Đẳng Kinh Tế Đối Ngoại","Quản trị kinh doanh"
"Học viện nông nghiệp Việt Nam","Khoa học đất"
"Đại học CN thành phố HCM","Hóa phân tích"
"Đại học Bách khoa HN","Quản Trị Kinh Doanh"
"ĐẠI HỌC CÔNG NGHỆ SÀI GÒN STU","điện-điện tử"
"Học viện Nông nghiệp Việt Nam","Thú y"
"trường đại học kinh tế tài chính","Quản trị nhân lực"
"Học viện Báo chí và Tuyên truyền","Công tác xã hội"
"đại học giao thông vận tải thành phố HCM","cơ khí ô tô"
"kinh tế quốc dân","kinh tế"
"trường đại học công nghệ sài gòn","quản trị kinh doanh"
"học viện nông nghiệp việt nam","thú y"
"ĐH Ngoại Thương","Kinh tế Đối ngoại"
"cao đẵng nông nghiệp Nam Bộ","kế toán doanh nghiệp"
"Trường THPT Nguyễn Huệ","Văn - Anh"
"Trường DH Nông nghiêp Hà Nội","kỹ thuật cơ khí"
"đại học thăng long","tài chính"
"đại học Ngân Hàng TPHCM","Tài chính"
"học viện tài chính","tài chính ngân hàng"
"Đại Học Duy Tân","Xây dựng cầu đường"
"Đại học nông lâm thái nguyên","Khoa học môi trường"
