raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
DHBKHN,CNTT,cntt,0,dai hoc bach khoa ha noi,0,dai hoc bach khoa ha noi,100
vien dai hoc mo ha noi,khoa công nghệ thông tin,khoa cong nghe thong tin,35,vien dai hoc mo ha noi,100,None,-1
Viện đại học Mở Hà Nội,Khoa công nghệ thông tin,khoa cong nghe thong tin,35,vien dai hoc mo ha noi,50,None,-1
Fpt,Android,android,0,fpt,67,None,-1
Dh công nghiệp hà nội,công nghệ thông tin,cong nghe thong tin,49,dai hoc cong nghiep ha noi,68,dai hoc cong nghiep ha noi,100
Dh công nghiệp hà nội,công nghệ thông tin,cong nghe thong tin,49,dai hoc cong nghiep ha noi,68,dai hoc cong nghiep ha noi,100
FPT university,marketing,marketing,17,fpt university,79,None,-1
back khoa aptech,cntt,cntt,20,back khoa aptech,100,None,-1
quản trị doanh nghiệp,Đại học Kinh doanh và công nghệ Hà nội,dai hoc kinh doanh cong nghe ha noi,44,quan tri doanh nghiep,86,None,-1
ĐH Công nghiệp Hà Nội,Kế toán kiểm toán,ke toan kiem toan,33,dai hoc cong nghiep ha noi,51,dai hoc cong nghiep ha noi,100
đại học y dược Cần Thơ,Y đa khoa,y da khoa,32,dai hoc y duoc can tho,59,dai hoc y duoc can tho,100
khoa học quân sự,tiếng trung,tieng trung,22,khoa hoc quan su,81,None,-1
Đại Học Thương Mại,Marketing,marketing,30,dai hoc thuong mai,50,dai hoc thuong mai,100
đại học văn lang,quan hệ công chúng và truyền thông,quan he cong chung truyen thong,40,dai hoc van lang,75,dai hoc van lang,100
Đại học Ngoại Ngữ ĐHQG HN,Tiếng Pháp,tieng phap,20,dai hoc ngoai ngu dai hoc quoc gia ha noi,36,dai hoc ngoai ngu dai hoc quoc gia ha noi,100
Đại học Ngoại Ngữ ĐHQG HN,Tiếng Pháp,tieng phap,20,dai hoc ngoai ngu dai hoc quoc gia ha noi,36,dai hoc ngoai ngu dai hoc quoc gia ha noi,100
Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,Quản trị kinh doanh,quan tri kinh doanh,36,dai hoc kinh te ky thuat cong nghiep,58,dai hoc kinh te   ky thuat cong nghiep,97
Đại học Cửu Long,Chuyên ngành kế toán,chuyen nganh ke toan,33,dai hoc cuu long,62,dai hoc cuu long,100
Trung tâm giáo dục thường xuyên đình xuyên,văn hóa và Công nghệ thông tin,van hoa cong nghe thong tin,39,trung tam giao duc thuong xuyen dinh xuyen,76,None,-1
trung cấp y dược mêkong,y sĩ đa khoa,y si da khoa,29,trung cap y duoc mekong,83,None,-1
Cao Đẳng Kinh Tế-Công Nghệ TPHCM,Quản trị nhà hàng và dịch vụ ăn uống,quan tri nha hang dich vu an uong,33,cao dang kinh te cong nghe hcm,52,cao dang kinh te cong nghe   hcm,97
Trường Cao Đẳng Kinh Tế TPHCM,Kế toán,ke toan,15,cao dang kinh te hcm,45,cao dang kinh te   hcm,95
cd kt-kt,kế toán,ke toan,29,cao dang kt kt,64,None,-1
Đai học kinh tế kỹ thuật Bình Dương,Dược sĩ Trung học,duoc si trung hoc,23,dai hoc kinh te ky thuat binh duong,71,dai hoc kinh te   ky thuat binh duong,97
Đai học kinh tế kỹ thuật Bình Dương,Dược sĩ Trung học,duoc si trung hoc,23,dai hoc kinh te ky thuat binh duong,71,dai hoc kinh te   ky thuat binh duong,97
Đai học kinh tế kỹ thuật Bình Dương,Dược sĩ Trung học,duoc si trung hoc,23,dai hoc kinh te ky thuat binh duong,71,dai hoc kinh te   ky thuat binh duong,97
Đai học kinh tế kỹ thuật Bình Dương,Dược sĩ Trung học,duoc si trung hoc,23,dai hoc kinh te ky thuat binh duong,71,dai hoc kinh te   ky thuat binh duong,97
THPT Thanh Đa,Không,khong,22,thpt thanh da,54,None,-1
Nguyễn Tất Thành,quản trị kinh doanh,quan tri kinh doanh,51,nguyen tat thanh,62,None,-1
Đại học Tài chính - Marketing,Tài chính Bảo hiểm và đầu tư,tai chinh bao hiem dau tu,33,dai hoc tai chinh marketing,71,dai hoc tai chinh   marketing,96
cao dang tai chinh hai quan,kinh doanh quoc te,kinh doanh quoc te,36,cao dang tai chinh hai quan,100,None,-1
Đại học tài chính quản trị kinh doanh,kế toán,ke toan,18,dai hoc tai chinh quan tri kinh doanh,81,dai hoc tai chinh   quan tri kinh doanh,97
Đại học Tài chính Marketing,Quản trị du lịch,quan tri du lich,23,dai hoc tai chinh marketing,74,dai hoc tai chinh   marketing,96
tc sp mẫu giáo nhà trẻ hn,giáo viên mầm non,giao vien mam non,35,tc su pham mau giao nha tre ha noi,71,None,-1
Đại học Thủ Đô,Tiếng Trung Quốc,tieng trung quoc,27,dai hoc thu do,50,None,-1
điện xi nghiệp,điện,dien,21,dien xi nghiep,73,None,-1
thpt Lê thị riêng,học sinh,hoc sinh,32,thpt le thi rieng,76,None,-1
Cao đẳng y tế Thanh Hóa,Dươc học,duoc hoc,25,cao dang y te thanh hoa,69,cao dang y te thanh hoa,100
THPT Tây Sơn,THPT,thpt,0,thpt tay son,33,None,-1
THPT Tây Sơn,THPT,thpt,0,thpt tay son,33,None,-1
Đại Học Xây Dựng Miền Tây,Xây Dựng Dân Dụng,xay dung dan dung,33,dai hoc xay dung mien tay,52,dai hoc xay dung mien tay,100
Trường THPT PHAN CHU TRINH,Học sinh,hoc sinh,37,thpt phan chu trinh,13,None,-1
cao đẳng kỹ thuật nghiệp vụ thủ đũc,CNTT,cntt,0,cao dang ky thuat nghiep vu thu duc,74,None,-1
học viện nông nghiệp việt nam,nông học,nong hoc,27,hoc vien nong nghiep viet nam,83,hoc vien nong nghiep viet nam,100
học viện nông nghiệp Việt Nam,Sản xuất và quản lý sản xuất rau hoa quả trong nhà có mái cho,san xuat quan ly san xuat rau hoa qua trong nha co mai cho,31,hoc vien nong nghiep viet nam,76,hoc vien nong nghiep viet nam,100
dh nông lâm tp hồ chí minh,công nghệ hóa học,cong nghe hoa hoc,49,dai hoc nong lam hcm,57,dai hoc nong lam   hcm,95
đại học sư phạm tphcm,Tiếng Anh,tieng anh,21,dai hoc su pham hcm,70,dai hoc su pham   hcm,95
Đại học công đoàn,xã hội học,xa hoi hoc,30,dai hoc cong doan,65,dai hoc cong doan,100
Cao Đẳng VHNT & DL Nha trang,Thanh Nhạc,thanh nhac,28,cao dang vhnt dl nha trang,59,None,-1
cao đẳng kỹ thuật cao thắng,kế toán,ke toan,29,cao dang ky thuat cao thang,81,cao dang ky thuat cao thang,100
Đại học An Giang,Công nghệ - kỹ thuật - môi trường,cong nghe ky thuat moi truong,29,dai hoc an giang,69,dai hoc an giang,100
cao đẳng cộng đồng,kế toán,ke toan,24,cao dang cong dong,72,None,-1
cao đẳng cộng đồng,kế toán,ke toan,24,cao dang cong dong,72,None,-1
cao đẳng cộng đồng,kế toán,ke toan,24,cao dang cong dong,72,None,-1
cao đẳng cộng đồng,kế toán,ke toan,24,cao dang cong dong,72,None,-1
cao đẳng cộng đồng,kế toán,ke toan,24,cao dang cong dong,72,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
cao đẳng sư phạm huế,tin học ngoại ngữ,tin hoc ngoai ngu,27,cao dang su pham hue,75,None,-1
Đại học Mở TP.HCM,Kế toán - Kiểm toán,ke toan kiem toan,30,dai hoc mo hcm,39,None,-1
Đại học Mở TP.HCM,Kế toán - Kiểm toán,ke toan kiem toan,30,dai hoc mo hcm,39,None,-1
Đại học Mở TP.HCM,Kế toán - Kiểm toán,ke toan kiem toan,30,dai hoc mo hcm,39,None,-1
Đại học Mở TP.HCM,Kế toán - Kiểm toán,ke toan kiem toan,30,dai hoc mo hcm,39,None,-1
Đại học Hà Nội,Tài chính Ngân hàng,tai chinh ngan hang,36,dai hoc ha noi,50,dai hoc ha noi,100
đại học Kinh Tế Quốc Dân,tiếng anh thương mại,tieng anh thuong mai,32,dai hoc kinh te quoc dan,58,dai hoc kinh te quoc dan,100
Đại học Kinh Tế TP.HCM,Tài chính Ngân hàng,tai chinh ngan hang,42,dai hoc kinh te hcm,49,dai hoc kinh te   hcm,95
Trường Đại Học Cần Thơ,CNTT cơ bản,cntt co ban,31,dai hoc can tho,38,dai hoc can tho,100
Cao Đẳng Kinh Tế Đối Ngoại,Quản trị kinh doanh,quan tri kinh doanh,44,cao dang kinh te doi ngoai,62,cao dang kinh te doi ngoai,100
Học viện nông nghiệp Việt Nam,Khoa học đất,khoa hoc dat,29,hoc vien nong nghiep viet nam,72,hoc vien nong nghiep viet nam,100
Đại học CN thành phố HCM,Hóa phân tích,hoa phan tich,35,dai hoc cong nghe hcm,44,dai hoc cong nghe   hcm,95
Đại học Bách khoa HN,Quản Trị Kinh Doanh,quan tri kinh doanh,33,dai hoc bach khoa ha noi,59,dai hoc bach khoa ha noi,100
ĐẠI HỌC CÔNG NGHỆ SÀI GÒN STU,điện-điện tử,dien dien tu,29,dai hoc cong nghe sai gon stu,21,None,-1
Học viện Nông nghiệp Việt Nam,Thú y,thu y,12,hoc vien nong nghiep viet nam,69,hoc vien nong nghiep viet nam,100
trường đại học kinh tế tài chính,Quản trị nhân lực,quan tri nhan luc,29,dai hoc kinh te tai chinh,67,None,-1
Học viện Báo chí và Tuyên truyền,Công tác xã hội,cong tac xa hoi,26,hoc vien bao chi tuyen truyen,69,hoc vien bao chi tuyen truyen,100
đại học giao thông vận tải thành phố HCM,cơ khí ô tô,co khi o to,29,dai hoc giao thong van tai hcm,63,dai hoc giao thong van tai   hcm,97
kinh tế quốc dân,kinh tế,kinh te,52,kinh te quoc dan,81,None,-1
trường đại học công nghệ sài gòn,quản trị kinh doanh,quan tri kinh doanh,32,dai hoc cong nghe sai gon,63,dai hoc cong nghe sai gon,100
học viện nông nghiệp việt nam,thú y,thu y,12,hoc vien nong nghiep viet nam,83,hoc vien nong nghiep viet nam,100
ĐH Ngoại Thương,Kinh tế Đối ngoại,kinh te doi ngoai,38,dai hoc ngoai thuong,46,dai hoc ngoai thuong,100
cao đẵng nông nghiệp Nam Bộ,kế toán doanh nghiệp,ke toan doanh nghiep,47,cao dang nong nghiep nam bo,74,cao dang nong nghiep nam bo,100
Trường THPT Nguyễn Huệ,Văn - Anh,van anh,25,thpt nguyen hue,38,None,-1
Trường DH Nông nghiêp Hà Nội,kỹ thuật cơ khí,ky thuat co khi,24,dai hoc nong nghiep ha noi,48,dai hoc cong nghiep ha noi,96
đại học thăng long,tài chính,tai chinh,37,dai hoc thang long,78,dai hoc thang long,100
đại học Ngân Hàng TPHCM,Tài chính,tai chinh,40,dai hoc ngan hang hcm,50,dai hoc ngan hang   hcm,95
học viện tài chính,tài chính ngân hàng,tai chinh ngan hang,38,hoc vien tai chinh,78,hoc vien tai chinh,100
Đại Học Duy Tân,Xây dựng cầu đường,xay dung cau duong,36,dai hoc duy tan,53,dai hoc duy tan,100
Đại học nông lâm thái nguyên,Khoa học môi trường,khoa hoc moi truong,43,dai hoc nong lam thai nguyen,75,dai hoc nong lam thai nguyen,100
Viện Đại Học Mở Hà Nội,Ngôn ngữ Anh,ngon ngu anh,23,vien dai hoc mo ha noi,52,None,-1
Viện Đại Học Mở  Hà Nội,Kinh Tế (Kế Toán),kinh te,38,vien dai hoc mo ha noi,51,None,-1
Đại học Kinh doanh và công nghệ Hà Nội,Kế toán,ke toan,14,dai hoc kinh doanh cong nghe ha noi,68,dai hoc kinh doanh cong nghe ha noi,100
DHBKHN,Cao học,cao hoc,26,dai hoc bach khoa ha noi,0,dai hoc bach khoa ha noi,100
đại học Thương Mại,Marketing,marketing,30,dai hoc thuong mai,56,dai hoc thuong mai,100
The University of Greenwich,Computer Sceince,computer sceince,33,the university of greenwich,89,None,-1
