raw,new,score
DHBKHN, dai hoc  bach khoa hn,0
vien dai hoc mo ha noi,vien dai hoc mo ha noi,100
Viện đại học Mở Hà Nội,vien dai hoc mo ha noi,50
Fpt,fpt,67
Dh công nghiệp hà nội, dai hoc  cong nghiep ha noi,65
Dh công nghiệp hà nội, dai hoc  cong nghiep ha noi,65
FPT university,fpt university,79
back khoa aptech,back khoa aptech,100
quản trị doanh nghiệp,quan tri doanh nghiep,86
ĐH Công nghiệp Hà Nội, dai hoc  cong nghiep ha noi,49
đại học y dược Cần Thơ,dai hoc y duoc can tho,59
khoa học quân sự,khoa hoc quan su,81
Đại Học Thương Mại,dai hoc thuong mai,50
đại học văn lang,dai hoc van lang,75
Đại học Ngoại Ngữ ĐHQG HN,dai hoc ngoai ngu  dai hoc  quoc gia  ha noi,35
Đại học Ngoại Ngữ ĐHQG HN,dai hoc ngoai ngu  dai hoc  quoc gia  ha noi,35
Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,dai hoc kinh te ky thuat cong nghiep,58
Đại học Cửu Long,dai hoc cuu long,62
Trung tâm giáo dục thường xuyên đình xuyên,trung tam giao duc thuong xuyen dinh xuyen,76
trung cấp y dược mêkong,trung cap y duoc mekong,83
Cao Đẳng Kinh Tế-Công Nghệ TPHCM,cao dang kinh te cong nghe hcm,52
Trường Cao Đẳng Kinh Tế TPHCM,cao dang kinh te hcm,45
cd kt-kt, cao dang  kt kt,58
Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,71
Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,71
Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,71
Đai học kinh tế kỹ thuật Bình Dương,dai hoc kinh te ky thuat binh duong,71
THPT Thanh Đa,thpt thanh da,54
Nguyễn Tất Thành,nguyen tat thanh,62
Đại học Tài chính - Marketing,dai hoc tai chinh   marketing,72
cao dang tai chinh hai quan,cao dang tai chinh hai quan,100
Đại học tài chính quản trị kinh doanh,dai hoc tai chinh quan tri kinh doanh,81
Đại học Tài chính Marketing,dai hoc tai chinh marketing,74
tc sp mẫu giáo nhà trẻ hn,tc su pham mau giao nha tre ha noi,71
Đại học Thủ Đô,dai hoc thu do,50
điện xi nghiệp,dien xi nghiep,73
thpt Lê thị riêng,thpt le thi rieng,76
Cao đẳng y tế Thanh Hóa,cao dang y te thanh hoa,69
THPT Tây Sơn,thpt tay son,33
THPT Tây Sơn,thpt tay son,33
Đại Học Xây Dựng Miền Tây,dai hoc xay dung mien tay,52
Trường THPT PHAN CHU TRINH,thpt phan chu trinh,13
cao đẳng kỹ thuật nghiệp vụ thủ đũc,cao dang ky thuat nghiep vu thu duc,74
học viện nông nghiệp việt nam,hoc vien nong nghiep viet nam,83
học viện nông nghiệp Việt Nam,hoc vien nong nghiep viet nam,76
dh nông lâm tp hồ chí minh, dai hoc  nong lam  hcm,57
đại học sư phạm tphcm,dai hoc su pham hcm,70
Đại học công đoàn,dai hoc cong doan,65
Cao Đẳng VHNT & DL Nha trang,cao dang vhnt   dl nha trang,61
cao đẳng kỹ thuật cao thắng,cao dang ky thuat cao thang,81
Đại học An Giang,dai hoc an giang,69
cao đẳng cộng đồng,cao dang cong dong,72
cao đẳng cộng đồng,cao dang cong dong,72
cao đẳng cộng đồng,cao dang cong dong,72
cao đẳng cộng đồng,cao dang cong dong,72
cao đẳng cộng đồng,cao dang cong dong,72
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
cao đẳng sư phạm huế,cao dang su pham hue,75
Đại học Mở TP.HCM,dai hoc mo  hcm,38
Đại học Mở TP.HCM,dai hoc mo  hcm,38
Đại học Mở TP.HCM,dai hoc mo  hcm,38
Đại học Mở TP.HCM,dai hoc mo  hcm,38
Đại học Hà Nội,dai hoc ha noi,50
đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,58
Đại học Kinh Tế TP.HCM,dai hoc kinh te  hcm,48
Trường Đại Học Cần Thơ,dai hoc can tho,38
Cao Đẳng Kinh Tế Đối Ngoại,cao dang kinh te doi ngoai,62
Học viện nông nghiệp Việt Nam,hoc vien nong nghiep viet nam,72
Đại học CN thành phố HCM,dai hoc cong nghe   hcm,43
Đại học Bách khoa HN,dai hoc bach khoa ha noi,59
ĐẠI HỌC CÔNG NGHỆ SÀI GÒN STU,dai hoc cong nghe sai gon stu,21
Học viện Nông nghiệp Việt Nam,hoc vien nong nghiep viet nam,69
trường đại học kinh tế tài chính,dai hoc kinh te tai chinh,67
Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,69
đại học giao thông vận tải thành phố HCM,dai hoc giao thong van tai   hcm,64
kinh tế quốc dân,kinh te quoc dan,81
trường đại học công nghệ sài gòn,dai hoc cong nghe sai gon,63
học viện nông nghiệp việt nam,hoc vien nong nghiep viet nam,83
ĐH Ngoại Thương, dai hoc  ngoai thuong,43
cao đẵng nông nghiệp Nam Bộ,cao dang nong nghiep nam bo,74
Trường THPT Nguyễn Huệ,thpt nguyen hue,38
Trường DH Nông nghiêp Hà Nội, dai hoc  nong nghiep ha noi,46
đại học thăng long,dai hoc thang long,78
đại học Ngân Hàng TPHCM,dai hoc ngan hang hcm,50
học viện tài chính,hoc vien tai chinh,78
Đại Học Duy Tân,dai hoc duy tan,53
Đại học nông lâm thái nguyên,dai hoc nong lam thai nguyen,75
Viện Đại Học Mở Hà Nội,vien dai hoc mo ha noi,52
